Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
VNET,"21Vianet Group, Inc.",7.6,453657930.8,59691833,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",62.54,3250891365,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,12.26,1395191053,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
JOBS,"51job, Inc.",61.76,1654758593,26793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,64.31,9361894423,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
ATEN,"A10 Networks, Inc.",7.47,528623850.2,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAN,"Aaron&#39;s,  Inc.",42.39,3076594179,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ACIA,"Acacia Communications, Inc.",44.83,1758596844,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACIW,"ACI Worldwide, Inc.",23.95,2831005056,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ATVI,"Activision Blizzard, Inc",62.73,47356205245,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,15.6,511680000,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ATU,Actuant Corporation,26.15,1561052623,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
ACXM,Acxiom Corporation,25.12,2004833028,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
IOTS,Adesto Technologies Corporation,7.8,163358496.6,n/a,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
